Stimmart_,"Gemeinde-
schlüssel
—
Wahlkreis-
nummer_","Land - Landkreis / kfr. Stadt - Amt - Gemeinde
—
Wahlkreis_",Name_,Wahlberechtigte insgesamt_Anzahl,Wahlberechtigte A1_,Wahlberechtigte A2_,Wahlberechtigte A3_,Wähler_,"Wahl-
beteiligung_%",Ungültige Stimmen_Anzahl,"Gültige
Stimmen_",SPD_,SPD_%_2019,CDU_Anzahl_2019,CDU_%_2019,DIE LINKE_Anzahl_2019,DIE LINKE_%_2019,AfD_Anzahl_2019,AfD_%_2019,GRÜNE/B 90_Anzahl_2019,GRÜNE/B 90_%_2019,BVB / FREIE WÄHLER_Anzahl_2019,BVB / FREIE WÄHLER_%_2019,PIRATEN_Anzahl_2019,PIRATEN_%_2019,FDP_Anzahl_2019,FDP_%_2019,ÖDP_Anzahl,ÖDP_%,Tierschutzpartei_Anzahl,Tierschutzpartei_%,V-Partei³_Anzahl,V-Partei³_%,AGS,AfD_%_2014,AfD_Anzahl_2014,BVB / FREIE WÄHLER_%_2014,BVB / FREIE WÄHLER_Anzahl_2014,CDU_%_2014,CDU_Anzahl_2014,DIE LINKE_%_2014,DIE LINKE_Anzahl_2014,DKP_%,DKP_Anzahl,FDP_%_2014,FDP_Anzahl_2014,GRÜNE/B 90_%_2014,GRÜNE/B 90_Anzahl_2014,Gemeindename_,Gemeindename_gesamt,Gemeindenummer_,Gültige Stimmen_%,Gültige Stimmen_Anzahl,NPD_%,NPD_Anzahl,PIRATEN_%_2014,PIRATEN_Anzahl_2014,REP_%,REP_Anzahl,SPD_%_2014,SPD_Anzahl,Unnamed: 2_ausgezählt,Unnamed: 32_,Unnamed: 33_,Unnamed: 3_%,Unnamed: 4_,Unnamed: 7_%,Unnamed: 8_Anzahl,Unnamed: 9_,Verwaltungsbezik,Wahlberechtigte_%,Wahlberechtigte_Anzahl,Wähler_%,Wähler_Anzahl,Wähler_Anzahl_,Wähler_Anzahl_Anzahl,_merge,diff_afd
Zweistimme,12061540,amtsfreie Gemeinde,"Wildau, Stadt",8322,7088.0,1234.0,0.0,5003.0,60.1,73,4930.0,1538.0,31.2,573,11.6,637,12.9,907,18.4,616,12.5,219,4.4,41,0.8,199,4,37,0.8,148,3,15,0.3,12061540,11.5,481,3.3,139,19.3,807,22.2,928,0.7,28,1,41,6.8,285,Wildau,8,61540,,,2.1,86,1.5,64,0.2,9,31.4,1311,8,LT14,61540,100,LT14,50.65012525348921,67,4179,,,,,,4246,8383,both,6.899999999999999
Zweistimme,12061572,amtsfreie Gemeinde,Zeuthen,9487,7556.0,1931.0,0.0,6659.0,70.2,53,6606.0,1711.0,25.9,955,14.5,753,11.4,1228,18.6,1041,15.8,305,4.6,45,0.7,328,5,29,0.4,184,2.8,27,0.4,12061572,11.2,597,5.8,308,20.6,1096,20.4,1083,0.3,14,1.3,68,11.5,609,Zeuthen,11,61572,,,1.2,62,1.9,101,0.2,8,25.8,1369,11,LT14,61572,100,LT14,58.3053418571893,66,5315,,,,,,5381,9229,both,7.400000000000002
Zweistimme,12061192 08,amtsangehörige Gemeinde,Groß Köris,1986,1697.0,289.0,0.0,971.0,48.9,16,955.0,260.0,27.2,137,14.3,77,8.1,299,31.3,77,8.1,30,3.1,4,0.4,51,5.3,1,0.1,18,1.9,1,0.1,12061192,14.6,105,2.5,18,23.7,170,16.6,119,0,0,1.1,8,5.4,39,Groß Köris,3,61808192,,,4,29,0.4,3,0.1,1,31.5,226,3,LT14,61808192,100,LT14,38.61024033437827,21,718,,,,,,739,1914,both,16.700000000000003
Zweistimme,12061216 08,amtsangehörige Gemeinde,Halbe,1875,1644.0,231.0,0.0,899.0,47.9,11,888.0,202.0,22.7,121,13.6,91,10.2,281,31.6,64,7.2,37,4.2,7,0.8,37,4.2,6,0.7,42,4.7,0,0,12061216,12.4,98,11.5,91,17.8,141,15.4,122,0.5,4,1.3,10,2.9,23,Halbe,5,61808216,,,7.1,56,1.3,10,0.4,3,29.5,234,5,LT14,61808216,100,LT14,43.22442420996251,15,792,,,,,,807,1867,both,19.200000000000003
Zweistimme,12061328 08,amtsangehörige Gemeinde,"Märkisch Buchholz, Stadt",714,584.0,130.0,0.0,336.0,47.1,5,331.0,113.0,34.1,34,10.3,30,9.1,92,27.8,13,3.9,23,6.9,5,1.5,11,3.3,1,0.3,9,2.7,0,0,12061328,11.8,39,6.1,20,16.1,53,10.9,36,0.3,1,0.9,3,3.3,11,"Märkisch Buchholz, Stadt",2,61808328,,,4.2,14,1.2,4,0.3,1,44.8,148,2,LT14,61808328,100,LT14,50.07363770250368,10,330,,,,,,340,679,both,16.0
Zweistimme,12061344 08,amtsangehörige Gemeinde,Münchehofe,425,351.0,74.0,0.0,210.0,49.4,6,204.0,70.0,34.3,20,9.8,15,7.4,55,27,20,9.8,17,8.3,0,0,1,0.5,1,0.5,5,2.5,0,0,12061344,9.8,24,16.4,40,19.7,48,14.3,35,0.8,2,0.4,1,6.6,16,Münchehofe,3,61808344,,,4.5,11,1.6,4,0,0,25.8,63,3,LT14,61808344,100,LT14,57.88235294117647,2,244,,,,,,246,425,both,17.2
Zweistimme,12061448 08,amtsangehörige Gemeinde,Schwerin,725,582.0,143.0,0.0,382.0,52.7,3,379.0,69.0,18.2,51,13.5,39,10.3,135,35.6,37,9.8,7,1.8,4,1.1,25,6.6,1,0.3,10,2.6,1,0.3,12061448,16.7,57,0.9,3,29.6,101,14.7,50,0.6,2,3.5,12,5,17,Schwerin,1,61808448,,,6.2,21,1.5,5,0.6,2,20.8,71,1,LT14,61808448,100,LT14,50.658857979502194,5,341,,,,,,346,683,both,18.900000000000002
Zweistimme,12061492 08,amtsangehörige Gemeinde,"Teupitz, Stadt",1607,1339.0,268.0,0.0,718.0,44.7,8,710.0,161.0,22.7,106,14.9,61,8.6,237,33.4,55,7.7,23,3.2,4,0.6,36,5.1,4,0.6,21,3,2,0.3,12061492,15.4,84,4,22,20.9,114,19.4,106,0,0,0.7,4,5.1,28,"Teupitz, Stadt",4,61808492,,,4.4,24,1.3,7,0,0,28.8,157,4,LT14,61808492,100,LT14,35.78274760383386,14,546,,,,,,560,1565,both,18.0
Zweistimme,12061005 13,amtsangehörige Gemeinde,Alt Zauche-Wußwerk,440,399.0,41.0,0.0,262.0,59.5,4,258.0,52.0,20.2,50,19.4,26,10.1,83,32.2,17,6.6,11,4.3,2,0.8,11,4.3,1,0.4,5,1.9,0,0,12061005,9.9,23,1.3,3,30.6,71,12.9,30,0.9,2,2.2,5,2.6,6,Alt Zauche-Wußwerk,2,61813005,,,3,7,1.7,4,0.9,2,34.1,79,2,LT14,61813005,100,LT14,52.19298245614035,6,232,,,,,,238,456,both,22.300000000000004
Zweistimme,12061061 13,amtsangehörige Gemeinde,Byhleguhre-Byhlen,641,592.0,49.0,0.0,385.0,60.1,7,378.0,92.0,24.3,72,19,20,5.3,128,33.9,16,4.2,18,4.8,0,0,24,6.3,2,0.5,6,1.6,0,0,12061061,11.6,34,2,6,30.3,89,15,44,0,0,0.7,2,4.4,13,Byhleguhre-Byhlen,2,61813061,,,7.1,21,1,3,0.3,1,27.6,81,2,LT14,61813061,100,LT14,43.604651162790695,6,294,,,,,,300,688,both,22.299999999999997
Zweistimme,12061224 13,amtsangehörige Gemeinde,Jamlitz,462,413.0,49.0,0.0,280.0,60.6,1,279.0,61.0,21.9,45,16.1,23,8.2,108,38.7,9,3.2,16,5.7,1,0.4,10,3.6,0,0,6,2.2,0,0,12061224,17.6,39,2.7,6,24,53,16.7,37,0,0,0.5,1,2.7,6,Jamlitz,3,61813224,,,0.9,2,0.9,2,0,0,33.9,75,3,LT14,61813224,100,LT14,47.648261758691206,12,221,,,,,,233,489,both,21.1
Zweistimme,12061308 13,amtsangehörige Gemeinde,"Lieberose, Stadt",1204,1037.0,167.0,0.0,687.0,57.1,5,682.0,163.0,23.9,92,13.5,73,10.7,266,39,24,3.5,22,3.2,4,0.6,17,2.5,2,0.3,17,2.5,2,0.3,12061308,15.4,85,1.6,9,20.9,115,16.9,93,0.7,4,2.5,14,1.8,10,"Lieberose, Stadt",5,61813308,,,5.4,30,2.9,16,0.5,3,31.2,172,5,LT14,61813308,100,LT14,45.46184738955824,15,551,,,,,,566,1245,both,23.6
Zweistimme,12061352 13,amtsangehörige Gemeinde,Neu Zauche,943,865.0,78.0,0.0,558.0,59.2,6,552.0,166.0,30.1,88,15.9,41,7.4,172,31.2,23,4.2,20,3.6,6,1.1,22,4,2,0.4,10,1.8,2,0.4,12061352,10.2,56,1.6,9,23.9,131,16.9,93,0,0,2.4,13,2.4,13,Neu Zauche,3,61813352,,,4,22,2.2,12,0.2,1,36.2,199,3,LT14,61813352,100,LT14,57.28744939271255,17,549,,,,,,566,988,both,21.0
Zweistimme,12061450 13,amtsangehörige Gemeinde,Schwielochsee,1300,1134.0,166.0,0.0,771.0,59.3,15,756.0,186.0,24.6,141,18.7,51,6.7,240,31.7,49,6.5,24,3.2,2,0.3,43,5.7,2,0.3,16,2.1,2,0.3,12061450,14.6,117,2.1,17,31.6,253,12.1,97,0,0,1.7,14,1.9,15,Schwielochsee,9,61813450,,,2.7,22,0.5,4,0.1,1,32.6,261,9,LT14,61813450,100,LT14,60.01478196600147,11,801,,,,,,812,1353,both,17.1
Zweistimme,12061470 13,amtsangehörige Gemeinde,Spreewaldheide,403,358.0,45.0,0.0,241.0,59.8,10,231.0,66.0,28.6,48,20.8,15,6.5,76,32.9,12,5.2,6,2.6,1,0.4,5,2.2,0,0,2,0.9,0,0,12061470,11.9,27,0.4,1,28.3,64,17.3,39,0,0,2.7,6,1.8,4,Spreewaldheide,4,61813470,,,2.2,5,1.3,3,0.4,1,33.6,76,4,LT14,61813470,100,LT14,54.929577464788736,8,226,,,,,,234,426,both,21.0
Zweistimme,12061476 13,amtsangehörige Gemeinde,Straupitz (Spreewald)/Tšupc (Błota),836,723.0,113.0,0.0,456.0,54.5,7,449.0,141.0,31.4,79,17.6,28,6.2,127,28.3,26,5.8,16,3.6,2,0.4,19,4.2,1,0.2,8,1.8,2,0.4,12061476,8.7,37,1.9,8,26.7,114,10.5,45,0,0,3,13,2.3,10,Straupitz,1,61813476,,,2.6,11,1.6,7,0.2,1,42.4,181,1,LT14,61813476,100,LT14,49.37286202964653,6,427,,,,,,433,877,both,19.6
Zweistimme,12061017 14,amtsangehörige Gemeinde,Bersteland,748,677.0,71.0,0.0,472.0,63.1,5,467.0,93.0,19.9,103,22.1,25,5.4,166,35.5,14,3,18,3.9,5,1.1,24,5.1,3,0.6,14,3,2,0.4,12061017,15.4,58,2.1,8,37.7,142,6.1,23,0,0,1.3,5,4,15,Bersteland,3,61814017,,,3.2,12,0.8,3,2.4,9,27.1,102,3,LT14,61814017,100,LT14,50.66489361702128,4,377,,,,,,381,752,both,20.1
Zweistimme,12061097 14,amtsangehörige Gemeinde,Drahnsdorf,467,383.0,84.0,0.0,221.0,47.3,1,220.0,59.0,26.8,29,13.2,13,5.9,79,35.9,20,9.1,7,3.2,0,0,6,2.7,0,0,7,3.2,0,0,12061097,10.4,17,1.2,2,26.2,43,14.6,24,0,0,3,5,4.3,7,Drahnsdorf,1,61814097,,,1.8,3,1.8,3,1.8,3,34.8,57,1,LT14,61814097,100,LT14,33.81147540983606,1,164,,,,,,165,488,both,25.5
Zweistimme,12061164 14,amtsangehörige Gemeinde,"Golßen, Stadt",2085,1782.0,303.0,0.0,995.0,47.7,14,981.0,275.0,28,120,12.2,53,5.4,395,40.3,40,4.1,43,4.4,4,0.4,32,3.3,1,0.1,17,1.7,1,0.1,12061164,10,81,0.9,7,24.6,198,10.5,85,0.2,2,0.7,6,2.5,20,"Golßen, Stadt",4,61814164,,,2.6,21,1.6,13,0.2,2,46,371,4,LT14,61814164,100,LT14,37.35814798002723,17,806,,,,,,823,2203,both,30.299999999999997
Zweistimme,12061244 14,amtsangehörige Gemeinde,Kasel-Golzig,556,532.0,24.0,0.0,315.0,56.7,2,313.0,87.0,27.8,52,16.6,17,5.4,99,31.6,16,5.1,15,4.8,3,1,15,4.8,1,0.3,7,2.2,1,0.3,12061244,10.9,28,3.5,9,28.3,73,12,31,0.4,1,1.2,3,4.3,11,Kasel-Golzig,3,61814244,,,1.2,3,1.6,4,0,0,36.8,95,3,LT14,61814244,100,LT14,46.28975265017668,4,258,,,,,,262,566,both,20.700000000000003
Zweistimme,12061265 14,amtsangehörige Gemeinde,Krausnick-Groß Wasserburg,494,464.0,30.0,0.0,311.0,63,6,305.0,63.0,20.7,55,18,19,6.2,113,37,19,6.2,12,3.9,0,0,16,5.2,1,0.3,6,2,1,0.3,12061265,12.9,31,3.8,9,29.2,70,9.6,23,0.4,1,1.3,3,2.9,7,Krausnick-Groß Wasserburg,2,61814265,,,7.1,17,0,0,0.4,1,32.5,78,2,LT14,61814265,100,LT14,48.71287128712871,6,240,,,,,,246,505,both,24.1
Zweistimme,12061405 14,amtsangehörige Gemeinde,Rietzneuendorf-Staakow,512,474.0,38.0,0.0,309.0,60.4,8,301.0,76.0,25.2,51,16.9,20,6.6,96,31.9,16,5.3,16,5.3,0,0,20,6.6,1,0.3,5,1.7,0,0,12061405,9.6,26,2.2,6,27.4,74,15.6,42,0,0,1.1,3,4.4,12,Rietzneuendorf-Staakow,2,61814405,,,2.6,7,1.1,3,0.4,1,35.6,96,2,LT14,61814405,100,LT14,52.79383429672448,4,270,,,,,,274,519,both,22.299999999999997
Zweistimme,12061428 14,amtsangehörige Gemeinde,Schlepzig,511,476.0,35.0,0.0,274.0,53.6,1,273.0,62.0,22.7,51,18.7,14,5.1,87,31.9,20,7.3,13,4.8,4,1.5,13,4.8,1,0.4,8,2.9,0,0,12061428,8.5,20,2.1,5,32.2,76,11.9,28,0.4,1,1.3,3,8.1,19,Schlepzig,1,61814428,,,5.5,13,1.7,4,0,0,28.4,67,1,LT14,61814428,100,LT14,45.28301886792453,4,236,,,,,,240,530,both,23.4
Zweistimme,12061435 14,amtsangehörige Gemeinde,Schönwald,997,868.0,129.0,0.0,507.0,50.9,12,495.0,129.0,26.1,81,16.4,27,5.5,150,30.3,42,8.5,28,5.7,5,1,16,3.2,2,0.4,15,3,0,0,12061435,11.3,45,1,4,26.3,105,12.8,51,0,0,2.8,11,8,32,Schönwald,2,61814435,,,1.5,6,1,4,0,0,35.5,142,2,LT14,61814435,100,LT14,41.33064516129033,10,400,,,,,,410,992,both,19.0
Zweistimme,12061471 14,amtsangehörige Gemeinde,Steinreich,418,368.0,50.0,0.0,195.0,46.7,4,191.0,65.0,34,21,11,19,9.9,53,27.7,5,2.6,12,6.3,0,0,8,4.2,0,0,8,4.2,0,0,12061471,8.5,17,2,4,22.5,45,18.5,37,0,0,2.5,5,5,10,Steinreich,2,61814471,,,1,2,1,2,0.5,1,38.5,77,2,LT14,61814471,100,LT14,44.73684210526316,4,200,,,,,,204,456,both,19.2
Zweistimme,12061510 14,amtsangehörige Gemeinde,Unterspreewald,680,625.0,55.0,0.0,391.0,57.5,6,385.0,99.0,25.7,43,11.2,27,7,142,36.9,18,4.7,23,6,2,0.5,14,3.6,7,1.8,6,1.6,4,1,12061510,16.2,56,5.2,18,22.5,78,10.7,37,0,0,1.2,4,3.2,11,Unterspreewald,3,61814510,,,5.8,20,0.6,2,0.9,3,33.8,117,3,LT14,61814510,100,LT14,49.16434540389972,7,346,,,,,,353,718,both,20.7
Zweistimme,12062024,amtsfreie Gemeinde,"Bad Liebenwerda, Stadt",8040,6943.0,1097.0,0.0,4983.0,62,85,4898.0,1203.0,24.6,855,17.5,404,8.2,1425,29.1,231,4.7,231,4.7,37,0.8,373,7.6,20,0.4,104,2.1,15,0.3,12062024,10.8,414,3.4,130,29.2,1119,14.8,566,0.2,6,1.4,54,2.6,100,"Bad Liebenwerda, Stadt",21,62024,,,3.4,129,2,75,0.4,17,31.9,1221,21,LT14,62024,100,LT14,46.81823649705281,61,3831,,,,,,3892,8313,both,18.3
Zweistimme,12062092,amtsfreie Gemeinde,"Doberlug-Kirchhain, Stadt",7270,6430.0,840.0,0.0,4512.0,62.1,65,4447.0,1152.0,25.9,815,18.3,375,8.4,1179,26.5,253,5.7,308,6.9,31,0.7,197,4.4,11,0.2,115,2.6,11,0.2,12062092,12.4,496,6,241,27.3,1091,15.3,613,0.2,8,1.2,46,2.7,106,"Doberlug-Kirchhain, Stadt",20,62092,,,2.5,99,1.2,47,0.2,9,31,1241,20,LT14,62092,100,LT14,52.79181241093406,78,3997,,,,,,4075,7719,both,14.1
Zweistimme,12062124,amtsfreie Gemeinde,"Elsterwerda, Stadt",6725,5790.0,935.0,0.0,3939.0,58.6,48,3891.0,811.0,20.8,781,20.1,396,10.2,1234,31.7,190,4.9,154,4,30,0.8,159,4.1,20,0.5,103,2.6,13,0.3,12062124,12.9,405,2.6,83,31.9,1005,15.8,499,1,31,1.3,40,2.1,65,"Elsterwerda, Stadt",9,62124,,,2.9,90,2.2,68,0.2,5,27.2,858,9,LT14,62124,100,LT14,44.95786516853932,52,3149,,,,,,3201,7120,both,18.799999999999997
Zweistimme,12062128,amtsfreie Gemeinde,"Falkenberg/Elster, Stadt",5468,4853.0,615.0,0.0,3055.0,55.9,37,3018.0,798.0,26.4,621,20.6,247,8.2,791,26.2,139,4.6,168,5.6,25,0.8,134,4.4,11,0.4,76,2.5,8,0.3,12062128,10.2,270,4.1,107,29.2,771,15.3,403,0.3,7,1.8,48,2.5,67,"Falkenberg/Elster, Stadt",11,62128,,,2,54,1.4,36,0.3,7,32.9,866,11,LT14,62128,100,LT14,46.14056294249698,36,2636,,,,,,2672,5791,both,16.0
Zweistimme,12062140,amtsfreie Gemeinde,"Finsterwalde, Stadt",13754,12335.0,1419.0,0.0,7922.0,57.6,116,7806.0,2224.0,28.5,1400,17.9,756,9.7,1859,23.8,513,6.6,425,5.4,67,0.9,276,3.5,41,0.5,215,2.8,30,0.4,12062140,8.8,574,2.5,161,26.3,1705,17.8,1158,0.2,13,1.1,71,3.4,222,"Finsterwalde, Stadt",14,62140,,,2,131,1.2,78,0.2,12,36.5,2370,14,LT14,62140,100,LT14,45.898681471200554,119,6495,,,,,,6614,14410,both,15.0
Zweistimme,12062224,amtsfreie Gemeinde,"Herzberg (Elster), Stadt",7631,6809.0,822.0,0.0,4457.0,58.4,46,4411.0,1176.0,26.7,755,17.1,436,9.9,1222,27.7,232,5.3,250,5.7,34,0.8,153,3.5,21,0.5,122,2.8,10,0.2,12062224,10.2,388,5.4,205,25.5,974,18.5,706,0.2,8,1,38,2.6,98,"Herzberg (Elster), Stadt",22,62224,,,1.8,67,1.2,46,0.3,13,33.5,1279,22,LT14,62224,100,LT14,48.19366852886406,60,3822,,,,,,3882,8055,both,17.5
Zweistimme,12062341,amtsfreie Gemeinde,"Mühlberg/Elbe, Stadt",3299,2976.0,323.0,0.0,1910.0,57.9,31,1879.0,513.0,27.3,335,17.8,118,6.3,630,33.5,68,3.6,90,4.8,11,0.6,62,3.3,5,0.3,45,2.4,2,0.1,12062341,8.8,144,2.6,42,25.3,414,13.2,215,0.1,1,1.1,18,2.3,38,"Mühlberg/Elbe, Stadt",8,62341,,,3.4,56,1,17,0.3,5,41.9,684,8,LT14,62341,100,LT14,47.3130508956497,30,1634,,,,,,1664,3517,both,24.7
Zweistimme,12062410,amtsfreie Gemeinde,Röderland,3432,3071.0,361.0,0.0,2170.0,63.2,30,2140.0,450.0,21,435,20.3,156,7.3,760,35.5,80,3.7,77,3.6,13,0.6,106,5,6,0.3,52,2.4,5,0.2,12062410,13.5,230,2.1,36,35.5,606,13.5,230,0.1,1,0.9,16,1.8,30,Röderland,9,62410,,,4.4,76,1.3,23,0.6,10,26.4,451,9,LT14,62410,100,LT14,48.47977684797768,29,1709,,,,,,1738,3585,both,22.0
Zweistimme,12062461,amtsfreie Gemeinde,"Schönewalde, Stadt",2615,2338.0,277.0,0.0,1731.0,66.2,20,1711.0,477.0,27.9,297,17.4,169,9.9,474,27.7,87,5.1,93,5.4,9,0.5,53,3.1,8,0.5,41,2.4,3,0.2,12062461,11.3,163,6.7,96,22.1,318,15.9,229,0.4,6,1.3,18,3,43,"Schönewalde, Stadt",12,62461,,,4.4,63,1.2,17,0.5,7,33.3,479,12,LT14,62461,100,LT14,52.756756756756765,25,1439,,,,,,1464,2775,both,16.4
Zweistimme,12062469,amtsfreie Gemeinde,"Sonnewalde, Stadt",2724,2484.0,240.0,0.0,2074.0,76.1,34,2040.0,394.0,19.3,499,24.5,97,4.8,564,27.6,84,4.1,274,13.4,13,0.6,73,3.6,5,0.2,36,1.8,1,0,12062469,17.7,272,9.8,150,31.1,479,9.9,153,0.1,2,1,16,3.1,48,"Sonnewalde, Stadt",16,62469,,,3.7,57,1.4,21,0.4,6,21.7,334,16,LT14,62469,100,LT14,57.01294158796782,92,1538,,,,,,1630,2859,both,9.900000000000002
Zweistimme,12062500,amtsfreie Gemeinde,"Uebigau-Wahrenbrück, Stadt",4547,4033.0,514.0,0.0,2967.0,65.3,44,2923.0,687.0,23.5,569,19.5,260,8.9,842,28.8,111,3.8,124,4.2,8,0.3,237,8.1,12,0.4,64,2.2,9,0.3,12062500,10.4,254,5.2,128,29.1,714,15.9,389,0.3,7,2.1,52,3.1,75,"Uebigau-Wahrenbrück, Stadt",20,62500,,,2,48,1,24,0.3,7,30.7,753,20,LT14,62500,100,LT14,50.89686098654709,46,2451,,,,,,2497,4906,both,18.4
Zweistimme,12062219 02,amtsangehörige Gemeinde,Heideland,459,407.0,52.0,0.0,313.0,68.2,6,307.0,85.0,27.7,52,16.9,14,4.6,83,27,15,4.9,19,6.2,1,0.3,17,5.5,2,0.7,17,5.5,2,0.7,12062219,7.9,22,9,25,31.2,87,14,39,0,0,1.8,5,2.5,7,Heideland,3,62802219,,,1.1,3,0.7,2,0.4,1,31.5,88,3,LT14,62802219,100,LT14,59.34291581108829,10,279,,,,,,289,487,both,19.1
Zweistimme,12062417 02,amtsangehörige Gemeinde,Rückersdorf,1183,1041.0,142.0,0.0,666.0,56.3,9,657.0,195.0,29.7,114,17.4,47,7.2,189,28.8,21,3.2,45,6.8,3,0.5,19,2.9,2,0.3,17,2.6,5,0.8,12062417,10.1,54,6.2,33,26.4,141,9.6,51,0.4,2,1.7,9,2.6,14,Rückersdorf,3,62802417,,,2.4,13,0.7,4,0.9,5,39,208,3,LT14,62802417,100,LT14,42.391304347826086,12,534,,,,,,546,1288,both,18.700000000000003
Zweistimme,12062440 02,amtsangehörige Gemeinde,Schilda,413,375.0,38.0,0.0,212.0,51.3,2,210.0,65.0,31,35,16.7,15,7.1,60,28.6,4,1.9,19,9,2,1,5,2.4,1,0.5,4,1.9,0,0,12062440,11.4,19,9,15,27.7,46,12.7,21,0,0,0.6,1,1.2,2,Schilda,1,62802440,,,6,10,0.6,1,0.6,1,30.1,50,1,LT14,62802440,100,LT14,38.1489841986456,3,166,,,,,,169,443,both,17.200000000000003
Zweistimme,12062453 02,amtsangehörige Gemeinde,Schönborn,1298,1093.0,205.0,0.0,609.0,46.9,10,599.0,174.0,29,111,18.5,40,6.7,163,27.2,28,4.7,47,7.8,3,0.5,21,3.5,2,0.3,8,1.3,2,0.3,12062453,13.1,78,26.9,160,20.7,123,10.3,61,0,0,0.3,2,2.5,15,Schönborn,4,62802453,,,2.7,16,0.8,5,0.8,5,21.8,130,4,LT14,62802453,100,LT14,44.19284149013879,10,595,,,,,,605,1369,both,14.1
Zweistimme,12062492 02,amtsangehörige Gemeinde,Tröbitz,578,512.0,66.0,0.0,288.0,49.8,6,282.0,79.0,28,58,20.6,23,8.2,64,22.7,15,5.3,21,7.4,0,0,9,3.2,2,0.7,11,3.9,0,0,12062492,8.3,21,19.4,49,26.6,67,17.1,43,0.4,1,1.2,3,2.8,7,Tröbitz,1,62802492,,,1.6,4,0,0,0,0,22.6,57,1,LT14,62802492,100,LT14,40.775193798449614,11,252,,,,,,263,645,both,14.399999999999999
Zweistimme,12062088 05,amtsangehörige Gemeinde,Crinitz,1038,897.0,141.0,0.0,525.0,50.6,7,518.0,134.0,25.9,137,26.4,59,11.4,130,25.1,20,3.9,25,4.8,0,0,13,2.5,0,0,0,0,0,0,12062088,10.7,48,2.9,13,28.6,128,15.7,70,0,0,1.3,6,1.3,6,Crinitz,2,62805088,,,2.7,12,1.1,5,0.2,1,35.3,158,2,LT14,62805088,100,LT14,41.55251141552511,8,447,,,,,,455,1095,both,14.400000000000002
Zweistimme,12062293 05,amtsangehörige Gemeinde,Lichterfeld-Schacksdorf,808,718.0,90.0,0.0,482.0,59.7,8,474.0,116.0,24.5,91,19.2,36,7.6,141,29.7,27,5.7,24,5.1,3,0.6,21,4.4,2,0.4,13,2.7,0,0,12062293,12.8,54,2.1,9,30.6,129,9.7,41,0,0,0,0,3.6,15,Lichterfeld-Schacksdorf,3,62805293,,,1.7,7,1.7,7,0.5,2,37.3,157,3,LT14,62805293,100,LT14,48.12712826333711,3,421,,,,,,424,881,both,16.9
Zweistimme,12062333 05,amtsangehörige Gemeinde,Massen-Niederlausitz,1684,1458.0,226.0,0.0,977.0,58,9,968.0,239.0,24.7,233,24.1,42,4.3,268,27.7,41,4.2,66,6.8,13,1.3,46,4.8,2,0.2,15,1.5,3,0.3,12062333,12.1,104,2.5,21,34.4,295,10.4,89,0,0,0.6,5,3.9,33,Massen-Niederlausitz,7,62805333,,,2.7,23,2.1,18,0.4,3,31,266,7,LT14,62805333,100,LT14,48.713646532438474,14,857,,,,,,871,1788,both,15.6
Zweistimme,12062425 05,amtsangehörige Gemeinde,Sallgast,1253,1111.0,142.0,0.0,663.0,52.9,7,656.0,125.0,19.1,129,19.7,57,8.7,223,34,39,5.9,28,4.3,5,0.8,20,3,4,0.6,24,3.7,2,0.3,12062425,14.5,80,3.4,19,28.8,159,15.8,87,0,0,1.6,9,5.8,32,Sallgast,3,62805425,,,1.4,8,1.8,10,0.4,2,26.4,146,3,LT14,62805425,100,LT14,43.31013147718485,8,552,,,,,,560,1293,both,19.5
Zweistimme,12062177 07,amtsangehörige Gemeinde,Gorden-Staupitz,821,743.0,78.0,0.0,465.0,56.6,8,457.0,122.0,26.7,92,20.1,41,9,138,30.2,17,3.7,20,4.4,3,0.7,15,3.3,1,0.2,8,1.8,0,0,12062177,13.4,51,3.7,14,29.6,113,12.8,49,0.3,1,0,0,2.1,8,Gorden-Staupitz,2,62807177,,,3.7,14,1,4,0.3,1,33.2,127,2,LT14,62807177,100,LT14,44.09090909090909,6,382,,,,,,388,880,both,16.799999999999997
Zweistimme,12062240 07,amtsangehörige Gemeinde,Hohenleipisch,1666,1500.0,166.0,0.0,908.0,54.5,5,903.0,214.0,23.7,188,20.8,77,8.5,321,35.5,21,2.3,28,3.1,5,0.6,28,3.1,1,0.1,16,1.8,4,0.4,12062240,13.1,100,3.9,30,35.6,273,14.6,112,0.4,3,0.9,7,1,8,Hohenleipisch,3,62807240,,,3.7,28,0.8,6,0.4,3,25.6,196,3,LT14,62807240,100,LT14,44.08418657565416,9,766,,,,,,775,1758,both,22.4
Zweistimme,12062372 07,amtsangehörige Gemeinde,Plessa,2308,1997.0,311.0,0.0,1121.0,48.6,14,1107.0,213.0,19.2,211,19.1,88,7.9,437,39.5,33,3,34,3.1,11,1,53,4.8,6,0.5,19,1.7,2,0.2,12062372,19.4,163,2.4,20,27.9,235,15.3,129,0,0,1.1,9,2.1,18,Plessa,4,62807372,,,4.4,37,0.8,7,0.4,3,26.2,220,4,LT14,62807372,100,LT14,34.97975708502024,23,841,,,,,,864,2470,both,20.1
